important,410,negative,172
good,325,difficult,95
better,264,hard,71
best,201,poor,70
solid,113,worse,56
proper,60,unfortunately,41
outstanding,43,FALSE,39
conspicuous,34,cold,36
precise,31,impossible,35
excellent,30,dead,31
cheerful,24,unable,24
formidable,23,probable,24
attractive,23,secondary,23
greatest,23,awkward,21
prosperous,19,rigid,20
ideal,18,poorly,18
lucky,17,uncomfortable,18
favourable,16,dependent,18
preferred,14,severe,17
preferable,12,dangerous,14
cautious,12,sole,13
healthy,11,insufficient,11
prolific,11,exclusive,11
decent,10,intractable,11
happy,10,imaginary,10
admirable,9,harder,10
constitutional,8,damaging,10
honourable,8,unreliable,9
marvellous,6,abnormal,9
courteous,6,untreated,9
meticulous,6,comfortable,8
salutary,6,unwelcome,8
heroic,6,notional,8
awesome,5,junior,8
nice,5,repulsive,8
brilliant,5,simulated,8
promising,5,disastrous,7
enlightened,5,notorious,7
wonderful,4,unfortunate,7
therapeutic,4,worrying,7
sensational,4,troublesome,6
sound,4,generalized,6
competent,4,impenetrable,6
inspired,4,inert,6
fortunate,4,benign,6
luckier,4,speculative,5
worthy,4,indirectly,5
propellant,4,disappointing,5
falsifiable,3,tough,5
definite,3,unsuitable,5
happier,3,outrageous,5
legendary,3,catastrophic,5
thorough,3,unsupported,4
privileged,3,negatively,4
idealized,3,turbulent,4
altruistic,3,unfashionable,4
glowing,3,tricky,4
potable,2,imponderable,4
preventive,2,distasteful,4
virtuous,2,humble,4
delightful,2,unrealistic,4
well-to-do,2,nasty,3
well-mannered,2,sinister,3
well,2,calamitous,3
accomplished,2,messy,3
congenial,2,invalid,3
reputable,2,stupid,3
pretty,2,chilling,3
despondent,3,,
erroneous,3,,
patchy,3,,
unwilling,3,,
liable,3,,
disconcerting,3,,
evil,3,,
unacceptable,3,,
supernatural,3,,
poorer,3,,
plaintive,2,,
unnatural,2,,
parsimonious,2,,
disruptive,2,,
reprehensible,2,,
egregious,2,,
untrue,2,,
culpable,2,,
lost,2,,
scary,2,,
nostalgic,2,,
unhappy,2,,
innocuous,2,,
unconstitutional,2,,
untimely,2,,
pathetic,2,,
unethical,2,,
pernicious,2,,
inexorable,2,,
unbound,2,,
resentful,2,,
worried,2,,
all-purpose,2,,
thorny,2,,
regrettably,2,,
unofficial,2,,
criminal,2,,
weird,2,,
protected,2,,
psychotic,2,,
impracticable,2,,
undeniable,2,,
fake,2,,
unworkable,2,,
unthinking,2,,
immobile,2,,
amiss,2,,
dirty,2,,
anisotropic,2,,
flagrant,2,,
unvarnished,2,,
cataclysmic,2,,
